                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6173,                 1.1452,                 1.9081,                0.98251,                0.97854,                0.99194,                0.77895,                0.97183,                0.44488,                 1.3772,               0.070012,               0.003332,               0.003332
                      2,                 1.0491,                0.48035,                 1.2936,                0.99367,                0.99493,                0.99487,                0.80708,                0.92711,                0.33967,                 1.3289,               0.039946,              0.0065994,              0.0065994
                      3,                 1.0127,                0.42343,                 1.2638,                0.98913,                0.99564,                0.99482,                0.81577,                0.91263,                0.30835,                 1.3149,              0.0098137,              0.0098007,              0.0098007
                      4,                0.98732,                0.39494,                 1.2449,                0.99761,                0.99912,                0.99496,                0.82812,                0.90529,                0.28289,                 1.3028,               0.009703,               0.009703,               0.009703
                      5,                0.96934,                0.37458,                 1.2302,                 0.9997,                0.99902,                0.99498,                0.83364,                0.89915,                0.27572,                 1.2962,               0.009703,               0.009703,               0.009703
                      6,                0.96172,                 0.3648,                 1.2241,                 0.9988,                      1,                0.99499,                0.83544,                0.89537,                0.26917,                  1.293,               0.009604,               0.009604,               0.009604
                      7,                 0.9595,                0.35999,                 1.2207,                0.99978,                0.99985,                0.99496,                0.83809,                0.89392,                0.26705,                 1.2916,               0.009505,               0.009505,               0.009505
                      8,                0.95419,                 0.3554,                 1.2175,                 0.9998,                0.99978,                0.99497,                0.83856,                0.89327,                0.26559,                 1.2906,               0.009406,               0.009406,               0.009406
                      9,                 0.9517,                0.35374,                 1.2146,                0.99979,                0.99981,                0.99498,                0.83842,                0.89263,                 0.2642,                 1.2898,               0.009307,               0.009307,               0.009307
                     10,                0.95002,                0.35156,                 1.2146,                0.99974,                0.99988,                0.99499,                0.83932,                 0.8921,                0.26321,                 1.2895,               0.009208,               0.009208,               0.009208
                     11,                0.94773,                0.35008,                 1.2113,                 0.9997,                0.99996,                0.99498,                0.84033,                0.89205,                0.26267,                 1.2893,               0.009109,               0.009109,               0.009109
                     12,                0.94658,                0.34824,                 1.2098,                0.99971,                      1,                0.99499,                0.84029,                0.89189,                0.26197,                 1.2886,                0.00901,                0.00901,                0.00901
                     13,                0.94706,                0.34827,                 1.2099,                0.99972,                      1,                0.99499,                0.84147,                0.89154,                0.26141,                 1.2879,               0.008911,               0.008911,               0.008911
                     14,                0.94395,                0.34572,                  1.209,                0.99973,                      1,                0.99499,                0.84264,                 0.8911,                0.26052,                 1.2872,               0.008812,               0.008812,               0.008812
                     15,                0.94343,                0.34435,                 1.2092,                0.99975,                      1,                0.99499,                0.84247,                0.89071,                0.25984,                 1.2869,               0.008713,               0.008713,               0.008713
                     16,                0.94277,                0.34296,                 1.2078,                0.99976,                      1,                0.99499,                 0.8422,                 0.8902,                0.25957,                 1.2862,               0.008614,               0.008614,               0.008614
                     17,                0.94127,                0.34281,                 1.2047,                0.99976,                      1,                0.99499,                 0.8432,                0.88981,                0.25879,                 1.2855,               0.008515,               0.008515,               0.008515
                     18,                0.94123,                0.34297,                 1.2055,                0.99976,                      1,                0.99499,                0.84339,                0.88926,                0.25805,                 1.2849,               0.008416,               0.008416,               0.008416
                     19,                0.93966,                0.34127,                 1.2042,                0.99976,                      1,                0.99499,                0.84379,                0.88883,                0.25769,                 1.2845,               0.008317,               0.008317,               0.008317
                     20,                0.93886,                0.34054,                  1.204,                0.99976,                      1,                0.99499,                0.84447,                0.88863,                0.25729,                 1.2842,               0.008218,               0.008218,               0.008218
                     21,                 0.9397,                 0.3409,                 1.2048,                0.99973,                      1,                0.99499,                0.84441,                0.88821,                 0.2567,                 1.2838,               0.008119,               0.008119,               0.008119
                     22,                0.93866,                0.34059,                 1.2046,                0.99973,                      1,                0.99499,                0.84371,                0.88789,                0.25656,                 1.2833,                0.00802,                0.00802,                0.00802
                     23,                0.93787,                0.33937,                 1.2043,                 0.9997,                      1,                0.99497,                0.84442,                0.88731,                0.25593,                 1.2827,               0.007921,               0.007921,               0.007921
                     24,                0.94015,                0.34034,                 1.2025,                0.99969,                      1,                0.99497,                 0.8452,                 0.8874,                0.25549,                 1.2825,               0.007822,               0.007822,               0.007822
                     25,                0.93731,                0.33892,                  1.203,                 0.9997,                      1,                0.99496,                0.84399,                0.88718,                0.25543,                 1.2824,               0.007723,               0.007723,               0.007723
                     26,                0.93746,                0.33768,                 1.2041,                 0.9997,                      1,                0.99497,                0.84499,                 0.8865,                0.25514,                 1.2817,               0.007624,               0.007624,               0.007624
                     27,                0.93724,                0.33735,                 1.2018,                0.99974,                      1,                0.99498,                0.84566,                0.88615,                0.25451,                 1.2815,               0.007525,               0.007525,               0.007525
                     28,                 0.9373,                0.33747,                 1.2032,                 0.9997,                      1,                0.99496,                0.84617,                0.88591,                0.25407,                 1.2814,               0.007426,               0.007426,               0.007426
                     29,                0.93484,                0.33626,                 1.2019,                0.99972,                      1,                0.99497,                0.84665,                0.88535,                0.25399,                 1.2811,               0.007327,               0.007327,               0.007327
                     30,                0.93418,                0.33531,                 1.2012,                0.99974,                      1,                0.99498,                0.84616,                0.88523,                0.25421,                 1.2809,               0.007228,               0.007228,               0.007228
                     31,                0.93355,                0.33565,                 1.2005,                0.99974,                      1,                0.99499,                0.84647,                0.88477,                0.25361,                 1.2807,               0.007129,               0.007129,               0.007129
                     32,                0.93292,                0.33455,                 1.2007,                0.99968,                      1,                0.99499,                0.84676,                0.88456,                 0.2537,                 1.2807,                0.00703,                0.00703,                0.00703
                     33,                0.93305,                0.33448,                 1.2005,                0.99972,                      1,                0.99499,                0.84576,                0.88455,                0.25361,                 1.2805,               0.006931,               0.006931,               0.006931
                     34,                0.93415,                0.33452,                    1.2,                0.99972,                      1,                0.99499,                0.84613,                0.88481,                0.25356,                   1.28,               0.006832,               0.006832,               0.006832
                     35,                0.93178,                0.33281,                 1.1995,                0.99975,                      1,                0.99499,                0.84686,                0.88467,                0.25339,                   1.28,               0.006733,               0.006733,               0.006733
                     36,                0.93128,                0.33193,                 1.1996,                0.99981,                      1,                0.99499,                0.84556,                0.88456,                0.25344,                 1.2805,               0.006634,               0.006634,               0.006634
                     37,                0.93132,                 0.3335,                 1.1984,                0.99982,                      1,                0.99499,                0.84688,                0.88409,                0.25327,                 1.2802,               0.006535,               0.006535,               0.006535
