                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6123,                 1.1058,                 1.9191,                0.96588,                0.97326,                0.98755,                0.76569,                 1.0046,                0.47031,                 1.4079,               0.070012,               0.003332,               0.003332
                      2,                 1.0523,                0.48405,                 1.3015,                0.99507,                0.99277,                0.99476,                0.80695,                0.92891,                0.34276,                 1.3341,               0.039946,              0.0065994,              0.0065994
                      3,                 1.0125,                0.42515,                  1.268,                0.99371,                0.99481,                 0.9948,                0.81285,                0.91083,                0.30775,                 1.3161,              0.0098137,              0.0098007,              0.0098007
                      4,                 0.9844,                0.39333,                 1.2468,                 0.9974,                0.99918,                0.99494,                0.82934,                0.90156,                0.28455,                 1.3045,               0.009703,               0.009703,               0.009703
                      5,                0.96485,                0.37272,                 1.2308,                 0.9996,                0.99997,                0.99499,                0.83353,                0.89578,                0.27468,                 1.2987,               0.009703,               0.009703,               0.009703
                      6,                0.95514,                 0.3629,                  1.224,                0.99905,                0.99942,                0.99494,                0.83454,                0.89334,                0.27147,                 1.2962,               0.009604,               0.009604,               0.009604
                      7,                0.95126,                0.35866,                 1.2196,                0.99815,                0.99997,                0.99497,                0.83776,                0.89116,                0.27011,                 1.2934,               0.009505,               0.009505,               0.009505
                      8,                0.94568,                0.35386,                 1.2163,                 0.9991,                0.99914,                0.99499,                0.83862,                0.88995,                0.26907,                 1.2922,               0.009406,               0.009406,               0.009406
                      9,                0.94243,                0.35082,                 1.2134,                0.99885,                0.99997,                0.99499,                0.83901,                0.88876,                0.26801,                 1.2915,               0.009307,               0.009307,               0.009307
                     10,                 0.9405,                0.34826,                  1.212,                0.99823,                0.99984,                0.99499,                0.84012,                 0.8882,                0.26723,                  1.291,               0.009208,               0.009208,               0.009208
                     11,                0.93692,                0.34541,                 1.2096,                0.99987,                0.99953,                0.99499,                0.84159,                0.88787,                0.26578,                 1.2905,               0.009109,               0.009109,               0.009109
                     12,                0.93621,                0.34456,                 1.2076,                0.99971,                0.99997,                0.99499,                0.84116,                0.88737,                0.26544,                   1.29,                0.00901,                0.00901,                0.00901
                     13,                0.93543,                0.34293,                 1.2086,                0.99975,                0.99998,                0.99499,                0.84076,                0.88682,                0.26486,                 1.2893,               0.008911,               0.008911,               0.008911
                     14,                0.93289,                0.34111,                  1.207,                0.99978,                0.99997,                0.99499,                0.84146,                0.88632,                0.26403,                  1.289,               0.008812,               0.008812,               0.008812
                     15,                0.93243,                0.34048,                 1.2072,                 0.9998,                0.99999,                0.99497,                0.84246,                 0.8861,                0.26347,                 1.2888,               0.008713,               0.008713,               0.008713
                     16,                0.93206,                0.33924,                 1.2052,                0.99977,                      1,                0.99499,                0.84278,                0.88523,                0.26298,                 1.2877,               0.008614,               0.008614,               0.008614
                     17,                 0.9306,                0.33808,                 1.2029,                0.99975,                      1,                0.99496,                0.84257,                0.88477,                0.26235,                 1.2874,               0.008515,               0.008515,               0.008515
                     18,                 0.9299,                0.33773,                 1.2034,                0.99977,                      1,                0.99499,                0.84306,                0.88405,                0.26152,                 1.2863,               0.008416,               0.008416,               0.008416
                     19,                0.92821,                0.33637,                 1.2017,                0.99979,                      1,                0.99499,                 0.8431,                0.88363,                0.26103,                 1.2858,               0.008317,               0.008317,               0.008317
                     20,                0.92798,                0.33596,                 1.2023,                0.99979,                      1,                0.99497,                0.84417,                0.88295,                0.26031,                 1.2849,               0.008218,               0.008218,               0.008218
                     21,                0.92797,                0.33621,                 1.2029,                0.99976,                      1,                0.99499,                0.84357,                0.88225,                   0.26,                 1.2841,               0.008119,               0.008119,               0.008119
                     22,                0.92666,                0.33518,                 1.2019,                0.99975,                      1,                0.99499,                0.84441,                0.88176,                0.25935,                 1.2838,                0.00802,                0.00802,                0.00802
                     23,                0.92666,                0.33468,                 1.2017,                0.99974,                      1,                0.99499,                 0.8442,                0.88176,                0.25917,                 1.2837,               0.007921,               0.007921,               0.007921
                     24,                0.92735,                0.33335,                 1.2011,                0.99974,                      1,                  0.995,                0.84593,                 0.8815,                0.25884,                 1.2833,               0.007822,               0.007822,               0.007822
                     25,                0.92408,                0.33207,                 1.1997,                0.99974,                      1,                  0.995,                0.84593,                0.88095,                0.25844,                 1.2827,               0.007723,               0.007723,               0.007723
                     26,                0.92429,                0.33159,                 1.2005,                0.99976,                0.99999,                0.99499,                0.84697,                0.88044,                0.25783,                 1.2821,               0.007624,               0.007624,               0.007624
